lang,attribute.index,attribute,supplement,method.index,method,2g-no-hash,3g-no-hash,4g-no-hash,sk2g-no-hash,sk3g-no-hash,sk4g-no-hash,2g-hash-at-both,3g-hash-at-both,4g-hash-at-both,sk2g-hash-at-both,sk3g-hash-at-both,sk4g-hash-at-both,max
Czech,1,plurality,True,1,DT,0.88,0.89,0.83,0.83,0.79,0.85,0.84,0.82,0.86,0.84,0.86,0.89,
Czech,1,plurality,False,2,RF,0.86,0.86,0.84,0.83,0.81,0.84,0.83,0.80,0.87,0.84,0.84,0.87,
Czech,1,plurality,False,3,NN,0.83,0.81,0.83,0.82,0.81,0.80,0.82,0.79,0.84,0.81,0.84,0.82,
Czech,1,plurality,False,1,DT,0.80,0.83,0.80,0.81,0.81,0.81,0.83,0.81,0.83,0.80,0.80,0.83,
Czech,1,plurality,True,2,RF,0.93,0.89,0.89,0.91,0.85,0.87,0.91,0.88,0.89,0.88,0.89,0.89,
Czech,1,plurality,True,3,NN,0.94,0.90,0.87,0.88,0.81,0.82,0.90,0.88,0.86,0.87,0.85,0.85,
Czech,2,gender,True,2,RF,0.73,0.68,0.66,0.69,0.69,0.64,0.68,0.66,0.61,0.71,0.57,0.68,
Czech,2,gender,True,1,DT,0.61,0.59,0.60,0.52,0.57,0.54,0.57,0.60,0.56,0.58,0.55,0.52,
Czech,2,gender,True,3,NN,0.66,0.68,0.69,0.69,0.67,0.67,0.67,0.68,0.70,0.70,0.66,0.70,
Czech,2,gender,False,2,RF,0.69,0.64,0.67,0.66,0.66,0.61,0.63,0.63,0.66,0.69,0.55,0.64,
Czech,2,gender,False,3,NN,0.65,0.66,0.65,0.67,0.67,0.66,0.65,0.67,0.69,0.71,0.67,0.70,
Czech,2,gender,False,1,DT,0.57,0.55,0.48,0.52,0.43,0.56,0.57,0.51,0.49,0.57,0.51,0.43,
Czech,3,case,True,1,DT,0.56,0.46,0.53,0.47,0.44,0.48,0.50,0.48,0.54,0.52,0.50,0.47,
Czech,3,case,True,3,NN,0.57,0.52,0.49,0.45,0.43,0.41,0.47,0.45,0.47,0.44,0.44,0.43,
Czech,3,case,False,1,DT,0.45,0.40,0.39,0.46,0.35,0.43,0.36,0.42,0.41,0.39,0.43,0.38,
Czech,3,case,False,2,RF,0.48,0.45,0.51,0.46,0.47,0.49,0.39,0.44,0.43,0.45,0.48,0.41,
Czech,3,case,False,3,NN,0.44,0.37,0.42,0.43,0.39,0.39,0.38,0.39,0.40,0.39,0.42,0.36,
Czech,3,case,True,2,RF,0.57,0.51,0.58,0.54,0.58,0.55,0.56,0.54,0.57,0.57,0.54,0.50,
